Name,Description,Duration,Modules,Topics
UI/UX designer,Розробляй зрозумілі й стильні дизайни для користувачів,4 місяці,14,101
Data analyst,"У цьому модулі ти познайомишся з основами роботи дата-аналітика, а саме з побудовою візуалізацій. За допомогою сервісу Tableau ти створиш свій перший аналітичний дешборд.",3 місяці,18,138
QA engineer,Знайомимось з професією QA інженера. Знаходимо перші баги.,3 місяці,22,157
Python developer,"Починаємо вчити мову програмування Python! У цьому модулі ми познайомимось із синтаксисом, змінними, циклами, функціями, операторами, списками та з іншими базовими конструкціями мови Python.",4 місяці,22,199
Digital marketer,"Це твій старт в digital marketing! Тут ти вивчиш основи маркетингу та дізнаєшся про його цілі, познайомишся з каналами та джерелами офлайн-маркетингу та онлайн-маркетингу, дізнаєшся про їх переваги та недоліки.",3 місяці,12,80
Front-end developer,"Це старт. Тут ти освоїш синтаксис мови JavaScript, ознайомишся зі змінними, циклами, функціями, логічними операторами та іншими базовими конструкціями.",4 місяці,24,171
Full-stack developer,"Це старт. Тут ти освоїш синтаксис мови JavaScript, ознайомишся зі змінними, циклами, функціями, логічними операторами та іншими базовими конструкціями.",4 місяці,27,200
DevOps engineer,"Починаємо вчити мову програмування Python! У цьому модулі ми познайомимось із синтаксисом, змінними, циклами, функціями, операторами, списками та з іншими базовими конструкціями мови Python.",3 місяці,22,190
Java developer,"У цьому модулі ти вивчиш базовий синтаксис мови програмування Java. Почнеш знайомство з типами даних та операціями над ними, а вже незабаром ти будеш писати цикли та логічні оператори, які допоможуть тобі розв'язувати базові задачі за допомогою коду. Усе це допоможе тобі на шляху в становленні Java-розробником.",3 місяці,19,193
Recruiter,"Розберемо, що воно таке, це IT. Чому IT зараз на хайпі, які типи компаній існують, чим відрізняються та які особливості роботи в кожній із них. Обговоримо ринок ІТ в Україні та як він виживає в сучасних реаліях.",3 місяці,9,48
Automation QA engineer,Познайомся з курсом,3 місяці,16,136
SMM manager,"Засвой основи SMM, щоб зрозуміти ключові принципи роботи соціальних мереж. Дізнайся, як створювати контент, який ефективно залучає аудиторію, і як налаштувати успішні стратегії для розвитку бренду.",3 місяці,12,52
